Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
430000,0.50014716,0.0,-0.33101717,0.11651659,0.005002982,0.09939349,0.00026815408,0.091897085,0.05013297,-0.7926325864510193,232.22448979591837,-0.7883681238939365,0.25135057739680633
440000,0.5214132,0.0,-0.32971233,0.117952384,0.0024638432,0.09688048,0.0002673653,0.11657119,0.06312492,-0.7967435256458628,229.56410256410257,-0.7967094694956754,0.2525158018972247
450000,0.6710105,0.0,-0.24947327,0.12338344,0.007790959,0.09455141,0.00026658684,0.15015042,0.07224661,-0.44339500583656544,192.72222222222223,-0.4433951206781246,0.25972637675564597
460000,0.87269676,0.0,-0.26757392,0.13244657,0.006921476,0.09819298,0.00026588276,0.14350587,0.07132073,-0.6147517100164785,215.85106382978722,-0.6227500606328249,0.31014145762795425
470000,0.71256894,0.0,-0.35305718,0.13420527,0.0027353864,0.10359182,0.00026517335,0.15860182,0.09848366,-0.8954877367686117,240.4878048780488,-0.8954878776538663,0.36708417907357216
480000,0.6890292,0.0,-0.35017976,0.136196,0.0028378714,0.097984865,0.00026438976,0.13871203,0.075863585,-0.8669999336495742,237.75,-0.8607302293890998,0.29425213610132533
490000,0.7540066,0.0,-0.29646876,0.14343679,0.004862998,0.10131051,0.0002635916,0.14852628,0.09531939,-0.6129023806850721,206.53658536585365,-0.62205561427843,0.30946332673054366
500000,0.88182425,0.0,-0.16401231,0.1571615,0.0057911407,0.10041986,0.00026288666,0.15360492,0.07972484,-0.4401519914043316,187.4561403508772,-0.4498046461878152,0.2807107865208246
510000,0.81981283,0.0,-0.12079327,0.1704288,0.0040020784,0.098313764,0.00026218902,0.15574196,0.08740785,-0.36353934253565967,180.3090909090909,-0.35175313386652207,0.25053257774561644
520000,0.8075998,0.0,-0.15388909,0.14942347,0.0048100757,0.10234697,0.00026139745,0.15510193,0.104705095,-0.3661575224208222,180.96363636363637,-0.3774762361177376,0.2773353462939018
530000,0.8795592,0.0,-0.17597789,0.13596697,0.0044665453,0.09422037,0.0002606106,0.14465731,0.07798873,-0.5651346950127961,203.5531914893617,-0.584963830916778,0.2871195899484598
540000,0.96920955,0.0,-0.12682839,0.14272565,0.0048069386,0.10651159,0.00025982485,0.14318076,0.11355464,-0.3321242416908933,174.83050847457628,-0.341028294825958,0.2680419977691214
550000,0.990389,0.0,-0.15409552,0.17345716,0.0066641476,0.10048012,0.00025911478,0.15018481,0.11068699,-0.34727038854715536,179.69811320754718,-0.31194344725248946,0.25415123647676324
560000,0.89601713,0.0,-0.048077054,0.18572223,0.0052784225,0.096047506,0.00025841297,0.15120995,0.10816449,-0.1712063018727811,160.4920634920635,-0.1841562925837934,0.2376648776116781
570000,0.8581237,0.0,-0.21689264,0.18003978,0.005787492,0.09635316,0.00025763563,0.14426109,0.08847295,-0.5640850482964294,203.25531914893617,-0.5546087583769923,0.28435048950917047
580000,0.7678827,0.0,-0.10358287,0.1744758,0.0032770187,0.096542895,0.0002568498,0.135094,0.08353538,-0.26788704770226635,166.3548387096774,-0.2795079795141069,0.21568914882779594
590000,0.73856026,0.0,0.053165514,0.14838119,0.0026771273,0.099485025,0.00025613816,0.13815534,0.08346744,-0.017716178318133224,134.90540540540542,-0.004260307305479703,0.17506461469328974
600000,0.7871984,0.0,-0.064967915,0.12720771,0.003563504,0.09956094,0.00025544123,0.14588855,0.09914808,-0.1673728371417876,154.91525423728814,-0.19906218627751884,0.22443145841865217
610000,0.8447344,0.0,-0.19767156,0.15721148,0.0054656593,0.09971374,0.00025466923,0.14718854,0.086462684,-0.43213327845248084,189.81666666666666,-0.40101671516895293,0.260657477673764
